Id,Restaurant_Name,Cuisines,Price_For_One,Location,Rating,Latitude,Longitude,Delivery_review_number,Urls
R216,Le Arabia,Desserts,250,"Basaveshwara Nagar, Bangalore",3.7,12.9985510623,77.5423340499,21500.0,https://www.zomato.com/bangalore/le-arabia-basaveshwara-nagar-bangalore/order
R216,Le Arabia,Sichuan,250,"Basaveshwara Nagar, Bangalore",3.7,12.9985510623,77.5423340499,21500.0,https://www.zomato.com/bangalore/le-arabia-basaveshwara-nagar-bangalore/order
R217,New Taj Darbar,North Indian,250,"Shivajinagar, Bangalore",3.5,12.9853641,77.6052562,6627.0,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order
R217,New Taj Darbar,Chinese,250,"Shivajinagar, Bangalore",3.5,12.9853641,77.6052562,6627.0,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order
R217,New Taj Darbar,Mughlai,250,"Shivajinagar, Bangalore",3.5,12.9853641,77.6052562,6627.0,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order
R217,New Taj Darbar,Biryani,250,"Shivajinagar, Bangalore",3.5,12.9853641,77.6052562,6627.0,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order
R218,Hakka Box,Chinese,250,"Domlur, Bangalore",4.0,12.9660987709,77.6380737153,1.0,https://www.zomato.com/bangalore/hakka-box-domlur-bangalore/order
R218,Hakka Box,Thai,250,"Domlur, Bangalore",4.0,12.9660987709,77.6380737153,1.0,https://www.zomato.com/bangalore/hakka-box-domlur-bangalore/order
R218,Hakka Box,Momos,250,"Domlur, Bangalore",4.0,12.9660987709,77.6380737153,1.0,https://www.zomato.com/bangalore/hakka-box-domlur-bangalore/order
R218,Hakka Box,Sichuan,250,"Domlur, Bangalore",4.0,12.9660987709,77.6380737153,1.0,https://www.zomato.com/bangalore/hakka-box-domlur-bangalore/order
R219,Brothers Biriyani,Biryani,250,"Basavanagudi, Bangalore",4.0,12.9434387591,77.5449656323,1864.0,https://www.zomato.com/bangalore/brothers-biriyani-basavanagudi-bangalore/order
R219,Brothers Biriyani,South Indian,250,"Basavanagudi, Bangalore",4.0,12.9434387591,77.5449656323,1864.0,https://www.zomato.com/bangalore/brothers-biriyani-basavanagudi-bangalore/order
R220,The Dessert Zone,Desserts,250,"Vasanth Nagar, Bangalore",3.2,12.9922217878,77.5945016742,180.0,https://www.zomato.com/bangalore/the-dessert-zone-vasanth-nagar-bangalore/order
R220,The Dessert Zone,Bakery,250,"Vasanth Nagar, Bangalore",3.2,12.9922217878,77.5945016742,180.0,https://www.zomato.com/bangalore/the-dessert-zone-vasanth-nagar-bangalore/order
R221,Mealful Rolls - India's Biggest Rolls,Rolls,250,"Langford Town, Bangalore",4.3,12.961168,77.598239,61.0,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order
R221,Mealful Rolls - India's Biggest Rolls,Fast Food,250,"Langford Town, Bangalore",4.3,12.961168,77.598239,61.0,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order
R221,Mealful Rolls - India's Biggest Rolls,North Indian,250,"Langford Town, Bangalore",4.3,12.961168,77.598239,61.0,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order
R221,Mealful Rolls - India's Biggest Rolls,Wraps,250,"Langford Town, Bangalore",4.3,12.961168,77.598239,61.0,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order
R221,Mealful Rolls - India's Biggest Rolls,Beverages,250,"Langford Town, Bangalore",4.3,12.961168,77.598239,61.0,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order
R221,Mealful Rolls - India's Biggest Rolls,Desserts,250,"Langford Town, Bangalore",4.3,12.961168,77.598239,61.0,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order
R222,The Good Bowl,North Indian,250,"Shanti Nagar, Bangalore",4.2,12.9618884279,77.594377622,228.0,https://www.zomato.com/bangalore/the-good-bowl-shanti-nagar-bangalore/order
R222,The Good Bowl,Pasta,250,"Shanti Nagar, Bangalore",4.2,12.9618884279,77.594377622,228.0,https://www.zomato.com/bangalore/the-good-bowl-shanti-nagar-bangalore/order
R222,The Good Bowl,Italian,250,"Shanti Nagar, Bangalore",4.2,12.9618884279,77.594377622,228.0,https://www.zomato.com/bangalore/the-good-bowl-shanti-nagar-bangalore/order
