Restaurant_Name,Latitude,Longitude,Location,Delivery_review_number
Kaati Zone Rolls and Wraps,12.9922139471,77.5942770392,"Vasanth Nagar, Bangalore",365
Vijayalakshmi Veg,13.0009178833,77.6128007099,"Frazer Town, Bangalore",16.3K
Sultan - Palace Darbar Restaurant,13.0191186194,77.6187049225,"Nagawara, Bangalore",15.9K
Cakewala,12.9289773681,77.5862056017,"Jayanagar, Bangalore","3,833"
Madeena Hotel,12.9352160284,77.6157328047,"Koramangala 5th Block, Bangalore",25.4K
Hari Super Sandwich,12.9887820000,77.5775300000,"Seshadripuram, Bangalore",224
Moriz Nano Restaurant,12.9875702856,77.6189493388,"Ulsoor, Bangalore","1,255"
Smoor,12.9730939815,77.6003359090,"Lavelle Road, Bangalore",169
Chaayos Chai+Snacks=Relax,12.9885099000,77.5938782000,"Cunningham Road, Bangalore",547
Savi Sagar,12.9964726840,77.5636794046,"Malleshwaram, Bangalore",20.6K
Shanmukha,12.9176886270,77.5925352797,"JP Nagar, Bangalore",57K
Narmada Chain of Restaurants,13.0007845971,77.6143594086,"Frazer Town, Bangalore",473
New Agarwal Bhavan,13.0036472948,77.5784416124,"Sadashiv Nagar, Bangalore","1,408"
BOX8 - Desi Meals,12.9611680000,77.5982390000,"Shanti Nagar, Bangalore",770
The Pizza Bakery,12.9751560000,77.6045570000,"Church Street, Bangalore","1,199"
Starbucks Coffee,12.9711217345,77.5981055573,"Lavelle Road, Bangalore",395
Karnataka Biryani Point,12.9915556593,77.5637310371,"Rajajinagar, Bangalore","2,940"
Roti Ghar,12.9448214000,77.5718216000,"Basavanagudi, Bangalore",22.6K
Sandwich Guru,12.9469271958,77.5678180531,"Basavanagudi, Bangalore",846
Laddoos,12.9678890000,77.6528370000,"Jeevan Bhima Nagar, Bangalore","4,014"
M.M.A Kabab and Rolls,12.9822371878,77.6339546219,"Old Madras Road, Bangalore","5,985"
Chaat Street,12.9351997641,77.6134709269,"Koramangala 4th Block, Bangalore","2,679"
The Bake Feast,12.9725110000,77.6487880000,"Indiranagar, Bangalore",730
Kolkata Famous Kati Rolls,12.9934760000,77.5488780000,"Rajajinagar, Bangalore",289
Bangarpet Chats,13.0140910000,77.6404470000,"Kalyan Nagar, Bangalore",44
Biryani By Kilo,12.9809890000,77.5636020000,"Majestic, Bangalore",89
Shree Mahalakshmi Sweets,12.9594255015,77.5626081973,"Basavanagudi, Bangalore",821
Five Star New Ambur Biryani,12.9145628512,77.6056727394,"BTM, Bangalore",15.7K
Zomoz - The Momo Company,12.9781230000,77.6382780000,"Indiranagar, Bangalore",992
Razakhiya Hotel,13.0265796987,77.6226655394,"HBR Layout, Bangalore","8,148"
Priyadarshini Grand,12.9901462968,77.5377672538,"Basaveshwara Nagar, Bangalore",29.5K
Donne Biryani House,12.9947570000,77.5714350000,"Malleshwaram, Bangalore","7,882"
Sangam Sweets,12.9769379537,77.5780124590,"Majestic, Bangalore",470
New Shanthi Sagar,12.9860380608,77.5544737279,"Rajajinagar, Bangalore","7,414"
Hyderabad Biryaani House,12.9664113534,77.6139936224,"Richmond Road, Bangalore","5,765"
Rolls Kitchen,12.9975115486,77.5500836223,"Rajajinagar, Bangalore","5,279"
Chetty's Corner,12.9925239788,77.5783007964,"Seshadripuram, Bangalore","2,351"
Potful - Claypot Biryanis,12.9722005649,77.6528145745,"Thippasandra, Bangalore","2,454"
Third Wave Coffee,12.9713517460,77.5959198922,"UB City, Bangalore",285
Barbeque Nation,12.9736200000,77.6211700000,"Ulsoor, Bangalore",708
Kolkata No. 1 Kati Rolls,12.9934913145,77.5490036979,"Rajajinagar, Bangalore","1,813"
Madurai Idly Shop,12.9360947803,77.6147456467,"Koramangala 7th Block, Bangalore","3,258"
Biggies Burger,12.9754360478,77.6032520458,"Church Street, Bangalore","1,605"
Sagar Hotel,12.9967281537,77.5541763380,"Rajajinagar, Bangalore",10.7K
Chowman,12.9786730000,77.6366020000,"Indiranagar, Bangalore","4,258"
New Udupi Grand,12.9436812130,77.6069622114,"Koramangala 8th Block, Bangalore",928
Biryani Trip - Destination Hyderabad,12.9868100000,77.5793840000,"Seshadripuram, Bangalore",188
Savoury Restaurant,12.9995866513,77.6159539819,"Frazer Town, Bangalore","5,858"
Kapoor's Cafe,12.9996685181,77.5525352956,"Rajajinagar, Bangalore","2,069"
T’s 21 Spice Biryani,12.9674220000,77.6366550000,"Indiranagar, Bangalore","2,127"
Pizza House,13.0230769000,77.6102089000,"RT Nagar, Bangalore",614
Namaste,12.9958280000,77.5714950000,"Malleshwaram, Bangalore",64
Just Bake,12.9885072576,77.5772510469,"Seshadripuram, Bangalore",145
Chef Bakers,12.9359895613,77.6149709523,"Koramangala 7th Block, Bangalore",99
Meghduth Biryanis,12.9301720592,77.5816793740,"Jayanagar, Bangalore","2,247"
Sardarji Londonwaley,12.9362196053,77.6155399159,"Koramangala 7th Block, Bangalore",35.8K
IDC Kitchen,12.9659398856,77.5945318490,"Residency Road, Bangalore","3,065"
Punjabi Nawabi,12.9363080000,77.6155320000,"Koramangala 7th Block, Bangalore",27.9K
Kabab King,12.9168721000,77.5688401000,"Kumaraswamy Layout, Bangalore","6,823"
Arabian Shawarma,13.0156603000,77.6396949000,"Kammanahalli, Bangalore",39
Szechuan Dragon,12.9401633223,77.5642423332,"Banashankari, Bangalore",34.4K
Momoz,13.0212899045,77.5848487392,"RT Nagar, Bangalore","2,039"
GOPIZZA,13.0009569000,77.6325712000,"Orion East, Banaswadi, Bangalore",121
LunchBox - Meals and Thalis,12.9618750319,77.5943494588,"Shanti Nagar, Bangalore",219
Donne Biryani Mane,12.9368767324,77.6276759058,"Koramangala 4th Block, Bangalore",895
D - Zaprino,13.0019619562,77.5583585724,"Rajajinagar, Bangalore","1,648"
Big Bowl Company,12.9352092257,77.6094823755,"Hosur Road, Bangalore","1,541"
Delicacy,12.9984631840,77.6177061349,"Frazer Town, Bangalore","8,474"
Aubree,13.0045959665,77.5786159560,"Sadashiv Nagar, Bangalore","3,198"
Just Shawarma,12.9697792344,77.6387323067,"Indiranagar, Bangalore",694
Keventers - Milkshakes & Desserts,12.9702092011,77.6092115790,"Garuda Mall, Magrath Road, Bangalore",784
Cake N Chef,12.8977500000,77.5962700000,"Bannerghatta Road, Bangalore","7,675"
Mandya Nati Style,12.9690607700,77.5443373248,"Vijay Nagar, Bangalore","5,826"
Brahmins' Thatte Idli,13.0037895000,77.5779477000,"Malleshwaram, Bangalore","2,339"
WOW! China,12.9750034764,77.6048379019,"Church Street, Bangalore",791
Juice Junction,12.9721018956,77.6012196019,"St. Marks Road, Bangalore","1,031"
The Dessert Heaven - Pure Veg,12.9404040000,77.6251730000,"Koramangala 6th Block, Bangalore",140
Ambur Biryani Point,12.9418939000,77.6154492000,"Koramangala 8th Block, Bangalore",248
Just Cakes,12.9285826221,77.6093081385,"Koramangala 7th Block, Bangalore","1,342"
Great Indian Khichdi by EatFit,12.9862830000,77.5948390000,"Cunningham Road, Bangalore",562
99 Varieties Dosa & Pav Bhaji,12.9140249458,77.6106415316,"BTM, Bangalore","5,754"
Hotel Kadamba Veg,12.9974957000,77.5474606000,"Rajajinagar, Bangalore","9,040"
ibaco,12.9475921368,77.5796982273,"Basavanagudi, Bangalore",275
Ande Ka Funda,12.9117373646,77.6035477594,"BTM, Bangalore","1,510"
Paratha Envy,12.9372460000,77.6246430000,"Koramangala 6th Block, Bangalore","2,187"
Cupcake Bliss Cakes & Desserts,12.9922371423,77.5942679867,"Vasanth Nagar, Bangalore",160
Hari Super Sandwich,12.9124383470,77.6063862070,"BTM, Bangalore","9,072"
Texas Burgers,12.9728124000,77.6480545000,"Thippasandra, Bangalore","1,043"
Momo Zone - The Momo Company,12.9923485447,77.5942361355,"Vasanth Nagar, Bangalore",205
The Cake Deluxe,12.9381798000,77.5791002000,"Basavanagudi, Bangalore",138
NH1 Bowls - Highway To North,12.9611680000,77.5982390000,"Langford Town, Bangalore",230
Cafe Coffee Day,12.9714666000,77.5942005000,"Lavelle Road, Bangalore",23
Anjappar,12.9742458211,77.6077045128,"Brigade Road, Bangalore","1,414"
Aromas Of Biryani,12.9252890000,77.5858830000,"Jayanagar, Bangalore","2,039"
New Udupi Garden,12.9567057333,77.6536413655,"Old Airport Road, Bangalore","7,342"
Afghani Tandoori Hub,12.9239805000,77.6126063000,"BTM, Bangalore",14K
Natraj Chole Bhature,12.9823325860,77.6379460841,"Indiranagar, Bangalore","2,471"
The Biryani Life,12.9618502002,77.5943414122,"Shanti Nagar, Bangalore",108
Shanthi Sagar,12.9888898209,77.5376277789,"Basaveshwara Nagar, Bangalore",12K
Chinese BAE,13.0212902312,77.5847370923,"RT Nagar, Bangalore","1,407"
Puliyogare Point,12.9407351545,77.5704690814,"Basavanagudi, Bangalore",34.6K
Rotti Walla,12.9741590000,77.6359410000,"Indiranagar, Bangalore",12.6K
Ayodhya Vihar Pure Veg,12.9685899607,77.6490963623,"Jeevan Bhima Nagar, Bangalore","9,107"
Gowdru Hotel,12.9693894538,77.5343289971,"Vijay Nagar, Bangalore",36.8K
Ambur Darbar Biriyani Point,13.0254374080,77.5603142381,"Yeshwantpur, Bangalore","8,469"
Kabab King Restaurant,12.9171271993,77.5687494501,"Banashankari, Bangalore",14.8K
Donne Biriyani Mane,12.9534625000,77.6528361000,"Old Airport Road, Bangalore",3
Yumlane Pizza,12.9347056600,77.6160934400,"Koramangala 5th Block, Bangalore",35
New Krishna Sagar,12.9802403503,77.6461791247,"Indiranagar, Bangalore","9,676"
Nagarjuna,12.9732182943,77.6093208790,"Residency Road, Bangalore","2,370"
The Cake Fancy,12.9381798000,77.5791002000,"Basavanagudi, Bangalore",106
Roti-Wala.Com,12.9135092615,77.6041039824,"BTM, Bangalore",42.5K
XO Belgian Waffle,12.9343384018,77.6160257310,"Building 105, Koramangala 5th Block, Bangalore",11.8K
Sri Venkateshwara Sweetmeat Stall,12.9730846665,77.5748578459,"Majestic, Bangalore",612
Ayodhya Sagar,12.9924576602,77.5342183560,"Basaveshwara Nagar, Bangalore","9,535"
India Sweet House,13.0005703023,77.6154195551,"Frazer Town, Bangalore",125
Sweet Truth - Cake and Desserts,12.9944440000,77.5937600000,"Vasanth Nagar, Bangalore",506
Chikpet Donne Biriyani House,12.9921103853,77.5571763888,"Rajajinagar, Bangalore","5,461"
Hotel Aditya,13.0037750000,77.5436260000,"Rajajinagar, Bangalore",14.7K
Gopaljee Cafe,12.9368981000,77.6121217000,"Koramangala 7th Block, Bangalore","1,628"
Mad Over Donuts,12.9705032509,77.6093031093,"Garuda Mall, Magrath Road, Bangalore","1,027"
Muthashy's,12.9208470423,77.6132600382,"BTM, Bangalore",48K
Indraprastha Restaurant,12.9718562023,77.5374235958,"Vijay Nagar, Bangalore",10.8K
Cream Stone Ice Cream,13.0005875000,77.6153902000,"Frazer Town, Bangalore",938
The Momo Co.,12.9352092257,77.6094823755,"Hosur Road, Bangalore",286
Crusto’s - Cheese Burst Pizza,12.9404117818,77.6251965854,"Koramangala 6th Block, Bangalore",62
Le Arabia,12.9985510623,77.5423340499,"Basaveshwara Nagar, Bangalore",21.5K
New Taj Darbar,12.9853641000,77.6052562000,"Shivajinagar, Bangalore","6,627"
Hakka Box,12.9660987709,77.6380737153,"Domlur, Bangalore",1
Brothers Biriyani,12.9434387591,77.5449656323,"Basavanagudi, Bangalore","1,864"
The Dessert Zone,12.9922217878,77.5945016742,"Vasanth Nagar, Bangalore",180
Mealful Rolls - India's Biggest Rolls,12.9611680000,77.5982390000,"Langford Town, Bangalore",61
The Good Bowl,12.9618884279,77.5943776220,"Shanti Nagar, Bangalore",228
Huliyappa's Donne Biryani,13.0268243579,77.5907941908,"RT Nagar, Bangalore","1,025"
Sri Srinivas Pork Hotel,12.9486769506,77.6274512708,"Ejipura, Bangalore","2,668"
Sri Durga Chats & Juice,12.9724841574,77.5388451666,"Vijay Nagar, Bangalore",14K
Shawarma Time,13.0075115414,77.5944483653,"RT Nagar, Bangalore","3,354"
Biryani Blues,12.9746740000,77.6058510000,"Church Street, Bangalore",786
TrueCakes,12.9563180000,77.6374470000,"Domlur, Bangalore",109
Hotel Karavali Food Point,12.9729712952,77.5399083272,"Vijay Nagar, Bangalore",20.7K
Sree Banashankari Donne Biriyani,12.9887401933,77.5455701351,"Basaveshwara Nagar, Bangalore",24.7K
Uttam Sagar,13.0094193051,77.6434087381,"Banaswadi, Bangalore",16.9K
Toscano,12.9713517460,77.5959198922,"UB City, Bangalore",849
UBQ By Barbeque Nation,12.9736200000,77.6211700000,"Ulsoor, Bangalore","1,440"
Donne Biryani Palace,12.9263883391,77.5847351423,"Jayanagar, Bangalore",121
Kailash Parbat,12.9825700000,77.6098000000,"Commercial Street, Bangalore",198
Dum Biryani Hub,12.9239923465,77.6125965267,"BTM, Bangalore",15.9K
Gully Treats,12.9975148155,77.5410653651,"Basaveshwara Nagar, Bangalore","1,905"
Davanagere Benne Dose,12.9196581888,77.5927961245,"Jayanagar, Bangalore",13.9K
Bhartiya Jalpan,12.9817115166,77.6095622778,"Commercial Street, Bangalore","2,088"
Kataria's,12.9163419000,77.6165165000,"BTM, Bangalore","4,920"
LeanCrust Pizza- ThinCrust Experts,12.9611680000,77.5982390000,"Langford Town, Bangalore",41
Beyond The Crust - BTC,12.9263700000,77.6094740000,"BTM, Bangalore","1,739"
Antarastriya,12.9982848139,77.5707741827,"Malleshwaram, Bangalore","3,525"
Upahara Darshini,12.9328993060,77.5843324140,"Jayanagar, Bangalore","8,885"
Juicy,12.9590406058,77.6553864777,"Old Airport Road, Bangalore","7,333"
Donne Biryani House,12.9695371327,77.5338807330,"Vijay Nagar, Bangalore","2,560"
Ambur Hot Dum Biryani,12.9318448133,77.6073018461,"BTM, Bangalore",312
FB Cakes,12.9165259018,77.6065199822,"BTM, Bangalore",573
Kullad Cafe,12.9126742950,77.6100678742,"BTM, Bangalore",38K
Antarastriya,12.9992844688,77.5493165106,"Rajajinagar, Bangalore","4,216"
Eshanya Street Food Cafe,12.9232613323,77.5931411237,"Jayanagar, Bangalore",901
The Thickshake Factory,12.9354010000,77.6205980000,"Koramangala 5th Block, Bangalore","1,113"
Paris Panini - Gourmet Sandwiches,12.9702794464,77.6444725692,"Indiranagar, Bangalore","2,374"
Wonder Sipp,12.9736606704,77.5381400809,"Vijay Nagar, Bangalore",458
Sreeraj Lassi Bar,12.9600015370,77.5979556888,"Shanti Nagar, Bangalore",642
Bucket Biryani,12.9671321125,77.6089845970,"Brigade Road, Bangalore",808
Dum Safar Biryani,12.9831000000,77.5596000000,"Rajajinagar, Bangalore",271
Tharavadu,12.9371584044,77.6196383312,"Koramangala 5th Block, Bangalore",879
The Taj Hotel,12.9640198029,77.5776337262,"City Market, Bangalore","1,146"
Bake and Juice,12.9317020137,77.6074081287,"Hosur Road, Bangalore",14.8K
Shyamji's Chole Bhature,12.9354820000,77.6212050000,"Koramangala 5th Block, Bangalore",280
Kirti Kitchen,12.9191330392,77.6181124896,"BTM, Bangalore","8,115"
Kolkata Famous Kati Rolls,12.9572213284,77.5674888119,"City Market, Bangalore",173
Mumbai Xpress,12.9336132998,77.6155969128,"Koramangala 5th Block, Bangalore","3,364"
Hyderabadi Biryani Hub,12.9220094206,77.6165249571,"BTM, Bangalore",15.5K
Bangarpet Chats,12.9861109152,77.5563801080,"Rajajinagar, Bangalore","1,957"
Hotel N.G.T Non Veg,12.9724360000,77.5389230000,"Vijay Nagar, Bangalore",396
Nando's,12.9726480000,77.6067980000,"Brigade Road, Bangalore",160
Magnolia Bakery,12.9700696907,77.6407825202,"Indiranagar, Bangalore","4,929"
King Punjabi Restaurant,12.9179938496,77.6127577946,"BTM, Bangalore",13.3K
Daily Sushi,12.9757908300,77.6024868300,"Church Street, Bangalore",114
La Heaven,13.0073560449,77.5711822137,"Malleshwaram, Bangalore","2,428"
NOTO - Healthy Ice Cream,12.9676870000,77.6098490000,"Brigade Road, Bangalore",31
Le Arabia Restaurant,12.9597685745,77.5317597762,"Vijay Nagar, Bangalore","1,895"
Friendly Neighbourhood Pizza - Man,12.9490095824,77.5775336847,"Basavanagudi, Bangalore",122
New Shanthi Sagar,12.9387706604,77.5800452381,"Basavanagudi, Bangalore","1,020"
Belgian Waffle Factory,13.0178700000,77.5919800000,"RT Nagar, Bangalore",220
Rooftop Cafe,12.9289590686,77.5862066075,"Jayanagar, Bangalore","1,340"
Jose Mess,12.9311984565,77.6081795990,"BTM, Bangalore","5,509"
Pasta Street,12.9882685970,77.5938307000,"Cunningham Road, Bangalore","1,928"
Rajasthani Taj Restaurant,12.9217793636,77.6109382510,"BTM, Bangalore","7,577"
Indiana Burgers,12.9922214611,77.5942632928,"Vasanth Nagar, Bangalore",211
Lassi Corner,12.9672059526,77.5425895303,"Vijay Nagar, Bangalore",428
Kolkata Famous Kati Roll,13.0259010000,77.6272060000,"HBR Layout, Bangalore",12
Apsara Ice Creams,12.9362796000,77.6155140000,"Koramangala 5th Block, Bangalore",586
Vaibhav Biryani,12.9986670354,77.5503659248,"Rajajinagar, Bangalore",810
Kunafa World,12.9953325415,77.6141421497,"Frazer Town, Bangalore",966
Melting Cheese,12.9551463000,77.5652162000,"Basavanagudi, Bangalore","3,023"
Donne Biryani Angadi Mane,13.0061830000,77.5789350000,"Sadashiv Nagar, Bangalore","3,182"
Habibi Falafel,12.9294806030,77.6343492419,"Koramangala 1st Block, Bangalore","3,520"
Biryani Pot,12.9219486386,77.6165360212,"BTM, Bangalore",57.6K
By 2 Coffee,12.9550909794,77.5664883479,"Basavanagudi, Bangalore","4,511"
Chopstick,13.0212912111,77.5847427920,"RT Nagar, Bangalore",439
Raidan Restaurant,13.0204500574,77.5933017151,"RT Nagar, Bangalore","1,486"
Khan Saheb Grills And Rolls,12.9825349408,77.6107889861,"Commercial Street, Bangalore","1,331"
Olio - The Wood Fired Pizzeria,12.9404117818,77.6251965854,"Koramangala 6th Block, Bangalore",56
Auntie Fung's,12.9620230000,77.6416360000,"Indiranagar, Bangalore","1,796"
Rajanna Military Hotel,12.9885774977,77.5481014699,"Rajajinagar, Bangalore","5,149"
Calcutta Victoria Chat House,12.9686213262,77.6494447142,"Jeevan Bhima Nagar, Bangalore","3,058"
Sweet Chariot Cafe,12.9683883717,77.6009349525,"Residency Road, Bangalore",869
Shanthi Sagar,12.9871785727,77.6189074293,"Ulsoor, Bangalore",20.3K
Vishnu Garden,13.0200829114,77.5923914462,"RT Nagar, Bangalore","9,115"
Lo! - Low Carb And Keto Foods,12.9682299009,77.6401384086,"Domlur, Bangalore",851
Home Plate by EatFit,12.9862830000,77.5948390000,"Cunningham Road, Bangalore",109
FB Café By Frozen Bottle,12.9728960000,77.6072990000,"Shivajinagar, Bangalore",15
Kabab Biryani Corner,12.9565655618,77.6196698472,"Richmond Road, Bangalore","2,181"
Sri Vishnu Park,12.9166579259,77.6150326431,"BTM, Bangalore",22.6K
Donne Biriyani House,13.0108174514,77.6350744441,"Kammanahalli, Bangalore","2,801"
Swiss Cream,12.9586050652,77.5943665579,"Shanti Nagar, Bangalore",683
Firangi Bake,12.9619648835,77.5944356248,"Shanti Nagar, Bangalore",48
Keventers Ice Cream,12.9702082210,77.6101583987,"Garuda Mall, Magrath Road, Bangalore",97
Charminar Biryani House,12.9144100000,77.6099700000,"BTM, Bangalore","4,397"
Pure Veg Meals By LunchBox,12.9621690915,77.5943491235,"Shanti Nagar, Bangalore",22
Tomba Kitchens,12.9503685320,77.6252263784,"Ejipura, Bangalore","1,651"
Lulu Hypermarket,12.9812001890,77.5637423887,"Rajajinagar, Bangalore","2,312"
Al Taza,12.9685236797,77.6401161712,"Indiranagar, Bangalore",4
Sreenivasa Brahmins Bakery,12.9434567308,77.5677875429,"Basavanagudi, Bangalore",918
Rolls Kitchen,12.9620495073,77.5973283872,"Langford Town, Bangalore","2,998"
Sagar,12.9883566498,77.5771397352,"Seshadripuram, Bangalore","8,314"
Cafe Grill,12.9687363331,77.6486776024,"Jeevan Bhima Nagar, Bangalore",12K
