Name,Price_For_One,Cuisines,Rating,Urls
ibaco,₹100 for one,"Ice Cream, Desserts",4,https://www.zomato.com/bangalore/ibaco-basavanagudi-bangalore/order
Ande Ka Funda,₹100 for one,"North Indian, Rolls, Chinese",3.7,https://www.zomato.com/bangalore/ande-ka-funda-2-btm-bangalore/order
Paratha Envy,₹100 for one,North Indian,4.1,https://www.zomato.com/bangalore/paratha-envy-koramangala-6th-block-bangalore/order
Cupcake Bliss Cakes & Desserts,₹100 for one,Bakery,3.5,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-vasanth-nagar-bangalore/order
Hari Super Sandwich,₹100 for one,"Sandwich, Fast Food",4.1,https://www.zomato.com/bangalore/hari-super-sandwich-btm-bangalore/order
Texas Burgers,₹100 for one,Burger,4,https://www.zomato.com/bangalore/texas-burgers-thippasandra-bangalore/order
Momo Zone - The Momo Company,₹150 for one,"Chinese, Tibetan",3.5,https://www.zomato.com/bangalore/momo-zone-the-momo-company-vasanth-nagar-bangalore/order
The Cake Deluxe,₹150 for one,Bakery,4.1,https://www.zomato.com/bangalore/the-cake-deluxe-basavanagudi-bangalore/order
NH1 Bowls - Highway To North,₹150 for one,"North Indian, Fast Food, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-langford-town-bangalore/order
Cafe Coffee Day,₹150 for one,"Cafe, Fast Food, Coffee, Beverages, Desserts",3.3,https://www.zomato.com/bangalore/cafe-coffee-day-1-lavelle-road-bangalore/order
Anjappar,₹150 for one,"South Indian, Chettinad, Biryani, Seafood, Chinese, North Indian, Desserts, Beverages",3.8,https://www.zomato.com/bangalore/anjappar-brigade-road-bangalore/order
Aromas Of Biryani,₹150 for one,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages",3.9,https://www.zomato.com/bangalore/aromas-of-biryani-1-jayanagar-bangalore/order
New Udupi Garden,₹150 for one,"South Indian, North Indian, Beverages, Chinese",3.7,https://www.zomato.com/bangalore/new-udupi-garden-airport-road-bangalore/order
Afghani Tandoori Hub,₹150 for one,"Afghan, Fast Food, Chinese, North Indian, Desserts, Beverages, Sichuan",3.4,https://www.zomato.com/bangalore/afghani-tandoori-hub-btm-bangalore/order
Natraj Chole Bhature,₹150 for one,North Indian,4.1,https://www.zomato.com/bangalore/natraj-chole-bhature-indiranagar-bangalore/order
The Biryani Life,₹150 for one,"Biryani, Kebab, Hyderabadi, Lucknowi",3.4,https://www.zomato.com/bangalore/the-biryani-life-shanti-nagar-bangalore/order
Shanthi Sagar,₹150 for one,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages",4.1,https://www.zomato.com/bangalore/shanthi-sagar-basaveshwara-nagar/order
Chinese BAE,₹150 for one,"Chinese, Seafood, Momos, Sichuan",3.7,https://www.zomato.com/bangalore/chinese-bae-rt-nagar-bangalore/order
Puliyogare Point,₹50 for one,"South Indian, Desserts",4.4,https://www.zomato.com/bangalore/puliyogare-point-basavanagudi/order
Rotti Walla,₹50 for one,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts",3.9,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore/order
Ayodhya Vihar Pure Veg,₹50 for one,"North Indian, Chinese, South Indian, Beverages, Desserts, Juices, Ice Cream, Shake",4.2,https://www.zomato.com/bangalore/ayodhya-vihar-pure-veg-jeevan-bhima-nagar-bangalore/order
Gowdru Hotel,₹50 for one,"Biryani, South Indian, North Indian",3.6,https://www.zomato.com/bangalore/gowdru-hotel-vijay-nagar-bangalore/order
Ambur Darbar Biriyani Point,₹50 for one,"Biryani, Kebab",4,https://www.zomato.com/bangalore/ambur-darbar-biriyani-point-yeshwantpur/order
Kabab King Restaurant,₹50 for one,"Chinese, North Indian, Beverages",3.5,https://www.zomato.com/bangalore/kabab-king-restaurant-1-banashankari-bangalore/order
Donne Biriyani Mane,₹50 for one,75+ orders placed from here recently,3.8,https://www.zomato.com/bangalore/donne-biriyani-mane-1-airport-road-bangalore/order
Yumlane Pizza,₹50 for one,"Shake, Ice Cream, Pizza, Beverages, Fast Food, Desserts",4,https://www.zomato.com/bangalore/yumlane-pizza-koramangala-5th-block-bangalore/order
New Krishna Sagar,₹50 for one,"South Indian, North Indian, Chinese, Beverages",3.7,https://www.zomato.com/bangalore/new-krishna-sagar-indiranagar/order
Nagarjuna,₹50 for one,"Andhra, Biryani, North Indian",4.2,https://www.zomato.com/bangalore/nagarjuna-residency-road/order
The Cake Fancy,₹50 for one,Bakery,4.3,https://www.zomato.com/bangalore/the-cake-fancy-basavanagudi-bangalore/order
Roti-Wala.Com,₹50 for one,"North Indian, Street Food, Healthy Food, Chinese, Desserts",4.1,https://www.zomato.com/bangalore/roti-wala-com-btm-bangalore/order
XO Belgian Waffle,₹150 for one,"Desserts, Beverages, Waffle, Shake",4.3,https://www.zomato.com/bangalore/xo-belgian-waffle-koramangala-5th-block/order
Sri Venkateshwara Sweetmeat Stall,₹150 for one,"Mithai, Street Food, Fast Food, North Indian",4.5,https://www.zomato.com/bangalore/sri-venkateshwara-sweetmeat-stall-majestic/order
Ayodhya Sagar,₹150 for one,"South Indian, North Indian, Chinese, Street Food, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/ayodhya-sagar-basaveshwara-nagar-bangalore/order
India Sweet House,₹150 for one,"Mithai, Street Food",4.2,https://www.zomato.com/bangalore/india-sweet-house-frazer-town-bangalore/order
Sweet Truth - Cake and Desserts,₹150 for one,Bakery,3.5,https://www.zomato.com/bangalore/sweet-truth-cake-and-desserts-vasanth-nagar-bangalore/order
Chikpet Donne Biriyani House,₹150 for one,"Biryani, Andhra, South Indian, Mughlai",3.6,https://www.zomato.com/bangalore/chikpet-donne-biriyani-house-rajajinagar/order
Hotel Aditya,₹150 for one,"Biryani, Mughlai",4.3,https://www.zomato.com/bangalore/hotel-aditya-rajajinagar-bangalore/order
Gopaljee Cafe,₹150 for one,"Street Food, North Indian, Beverages",4.1,https://www.zomato.com/bangalore/gopaljee-cafe-koramangala-7th-block-bangalore/order
Mad Over Donuts,₹150 for one,"Desserts, Waffle, Beverages",4.1,https://www.zomato.com/bangalore/mad-over-donuts-brigade-road/order
Muthashy's,₹150 for one,"Kerala, South Indian, Chinese, Sichuan",4.1,https://www.zomato.com/bangalore/muthashys-btm-bangalore/order
Indraprastha Restaurant,₹150 for one,"North Indian, Chinese, Biryani",4.1,https://www.zomato.com/bangalore/indraprastha-restaurant-vijay-nagar/order
Cream Stone Ice Cream,₹150 for one,"Ice Cream, Desserts, Beverages, Shake",4.2,https://www.zomato.com/bangalore/cream-stone-ice-cream-frazer-town-bangalore/order
The Momo Co.,₹250 for one,425+ orders placed from here recently,3.9,https://www.zomato.com/bangalore/the-momo-co-hosur-road-bangalore/order
Crusto’s - Cheese Burst Pizza,₹250 for one,Pizza,4.1,https://www.zomato.com/bangalore/crustos-cheese-burst-pizza-koramangala-6th-block-bangalore/order
Le Arabia,₹250 for one,"North Indian, Mughlai, Chinese, Arabian, Biryani, Beverages, Desserts, Sichuan",3.7,https://www.zomato.com/bangalore/le-arabia-basaveshwara-nagar-bangalore/order
New Taj Darbar,₹250 for one,"North Indian, Chinese, Mughlai, Biryani",3.5,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order
Hakka Box,₹250 for one,"Chinese, Thai, Momos, Sichuan",4,https://www.zomato.com/bangalore/hakka-box-domlur-bangalore/order
Brothers Biriyani,₹250 for one,"Biryani, South Indian",4,https://www.zomato.com/bangalore/brothers-biriyani-basavanagudi-bangalore/order
The Dessert Zone,₹250 for one,"Desserts, Bakery",3.2,https://www.zomato.com/bangalore/the-dessert-zone-vasanth-nagar-bangalore/order
Mealful Rolls - India's Biggest Rolls,₹250 for one,"Rolls, Fast Food, North Indian, Wraps, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order
The Good Bowl,₹250 for one,"North Indian, Pasta, Italian",4.2,https://www.zomato.com/bangalore/the-good-bowl-shanti-nagar-bangalore/order
Huliyappa's Donne Biryani,₹250 for one,"Biryani, South Indian",4,https://www.zomato.com/bangalore/huliyappas-donne-biryani-rt-nagar/order
Sri Srinivas Pork Hotel,₹250 for one,Fast Food,3.4,https://www.zomato.com/bangalore/sri-srinivas-pork-hotel-ejipura-bangalore/order
Sri Durga Chats & Juice,₹250 for one,"Fast Food, Street Food, Beverages, Desserts",4.2,https://www.zomato.com/bangalore/sri-durga-chats-juice-vijay-nagar-bangalore/order
Shawarma Time,₹100 for one,"Lebanese, Rolls, Fast Food",3.7,https://www.zomato.com/bangalore/shawarma-time-1-rt-nagar-bangalore/order
Biryani Blues,₹100 for one,"Biryani, Kebab, Desserts, Hyderabadi, Beverages",4.2,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order
TrueCakes,₹100 for one,"Bakery, Desserts",4.3,https://www.zomato.com/bangalore/truecakes-domlur-bangalore/order
Hotel Karavali Food Point,₹100 for one,"Mangalorean, South Indian, North Indian, Chinese",3.7,https://www.zomato.com/bangalore/hotel-karavali-food-point-vijay-nagar/order
Sree Banashankari Donne Biriyani,₹100 for one,"Biryani, South Indian",4.1,https://www.zomato.com/bangalore/sree-banashankari-donne-biriyani-basaveshwara-nagar-bangalore/order
Uttam Sagar,₹100 for one,"South Indian, North Indian, Street Food, Chinese, Fast Food, Beverages, Desserts",4,https://www.zomato.com/bangalore/uttam-sagar-banaswadi/order
Toscano,₹100 for one,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages",3.9,https://www.zomato.com/bangalore/toscano-lavelle-road/order
UBQ By Barbeque Nation,₹100 for one,"North Indian, Chinese, Street Food, Kebab, Beverages, Desserts",3.6,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order
Donne Biryani Palace,₹100 for one,"Biryani, South Indian, North Indian, Chinese",4.1,https://www.zomato.com/bangalore/donne-biryani-palace-1-jayanagar-bangalore/order
Kailash Parbat,₹100 for one,"North Indian, Street Food, Beverages",3.4,https://www.zomato.com/bangalore/kailash-parbat-commercial-street-bangalore/order
Dum Biryani Hub,₹100 for one,"Biryani, North Indian, Chinese, Desserts, Beverages, Sichuan",3.5,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
Gully Treats,₹100 for one,"Street Food, Fast Food, North Indian, Sandwich, Beverages, Sichuan",4.1,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order
Davanagere Benne Dose,₹50 for one,"South Indian, Kerala",4.1,https://www.zomato.com/bangalore/davanagere-benne-dose-jayanagar-bangalore/order
Bhartiya Jalpan,₹50 for one,"North Indian, Street Food, Rajasthani, Bengali, Mithai, Beverages, Desserts",3.8,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order
Kataria's,₹50 for one,"North Indian, Biryani, Beverages",3.5,https://www.zomato.com/bangalore/katarias-btm-bangalore/order
LeanCrust Pizza- ThinCrust Experts,₹50 for one,"Pizza, Italian, Fast Food, Desserts, Beverages",4,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-langford-town-bangalore/order
Beyond The Crust - BTC,₹50 for one,"Pizza, Fast Food, Desserts",4,https://www.zomato.com/bangalore/beyond-the-crust-btc-btm-bangalore/order
Antarastriya,₹50 for one,"Pizza, Fast Food, Chinese, Beverages, Shake, Italian, Mexican, Juices",3.6,https://www.zomato.com/antarastriya/order
Upahara Darshini,₹50 for one,"South Indian, North Indian, Fast Food, Street Food, Ice Cream, Beverages, Chinese",4.2,https://www.zomato.com/bangalore/upahara-darshini-jayanagar/order
Juicy,₹50 for one,"Beverages, Juices, Fast Food, Sandwich, Shake",3.9,https://www.zomato.com/bangalore/juicy-airport-road/order
Donne Biryani House,₹50 for one,"Biryani, North Indian, South Indian, Fast Food",3.5,https://www.zomato.com/bangalore/donne-biryani-house-vijay-nagar-bangalore/order
Ambur Hot Dum Biryani,₹50 for one,Biryani,3.8,https://www.zomato.com/bangalore/ambur-hot-dum-biryani-btm/order
FB Cakes,₹50 for one,"Bakery, Desserts",3.9,https://www.zomato.com/bangalore/fb-cakes-btm-bangalore/order
Kullad Cafe,₹50 for one,"North Indian, Fast Food, Street Food, Shake, Beverages",3.8,https://www.zomato.com/bangalore/kullad-cafe-btm/order
Antarastriya,₹100 for one,"Chinese, Fast Food, Mexican, Italian, Beverages, Juices",3.9,https://www.zomato.com/bangalore/antarastriya-rajajinagar-bangalore/order
Eshanya Street Food Cafe,₹100 for one,"North Indian, Mughlai, Chinese, Beverages",3.8,https://www.zomato.com/bangalore/eshanya-street-food-cafe-jayanagar-bangalore/order
The Thickshake Factory,₹100 for one,"Beverages, American",4.2,https://www.zomato.com/bangalore/the-thickshake-factory-koramangala-5th-block-bangalore/order
Paris Panini - Gourmet Sandwiches,₹100 for one,"Cafe, Coffee, Beverages, Desserts, French, Continental, Panini",4.3,https://www.zomato.com/bangalore/paris-panini-gourmet-sandwiches-indiranagar-bangalore/order
Wonder Sipp,₹100 for one,"Fast Food, Sandwich, Burger, Pizza",3.3,https://www.zomato.com/bangalore/wonder-sipp-vijay-nagar-bangalore/order
Sreeraj Lassi Bar,₹100 for one,"Shake, Juices, Beverages, Ice Cream, Desserts",4.3,https://www.zomato.com/bangalore/sreeraj-lassi-bar-shanti-nagar/order
Bucket Biryani,₹100 for one,"Biryani, North Indian, Chinese, Mughlai, Kebab",4.1,https://www.zomato.com/bangalore/bucket-biryani-brigade-road-bangalore/order
Dum Safar Biryani,₹100 for one,"North Indian, Biryani, Kebab, Beverages, Desserts",4,https://www.zomato.com/bangalore/dum-safar-biryani-rajajinagar-bangalore/order
Tharavadu,₹100 for one,"Chinese, Biryani, South Indian, Kerala",3.7,https://www.zomato.com/bangalore/tharavadu-koramangala-5th-block-bangalore/order
The Taj Hotel,₹100 for one,"North Indian, Chinese, Mughlai, Fast Food, Lebanese, Seafood, Rolls",3.7,https://www.zomato.com/bangalore/the-taj-hotel-1-city-market-bangalore/order
Bake and Juice,₹100 for one,"Arabian, Sandwich, Burger, Biryani, Lebanese, Beverages, Juices, Shake",3.8,https://www.zomato.com/bangalore/bake-and-juice-hosur-road-bangalore/order
Shyamji's Chole Bhature,₹100 for one,"Street Food, North Indian",3.8,https://www.zomato.com/bangalore/shyamjis-chole-bhature-koramangala-5th-block-bangalore/order
Kirti Kitchen,₹100 for one,"North Indian, Chinese, Sichuan",3.7,https://www.zomato.com/bangalore/kirti-kitchen-btm-bangalore/order
Kolkata Famous Kati Rolls,₹100 for one,Rolls,4.2,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-city-market-bangalore/order
Mumbai Xpress,₹100 for one,"Fast Food, North Indian, Street Food, Beverages, Chinese, Shake, Sichuan",3.7,https://www.zomato.com/bangalore/mumbai-xpress-koramangala-5th-block-bangalore/order
Hyderabadi Biryani Hub,₹100 for one,"Biryani, North Indian, Chinese, Mughlai, Beverages, Desserts",3.8,https://www.zomato.com/bangalore/hyderabadi-biryani-hub-btm/order
Bangarpet Chats,₹100 for one,Street Food,4.1,https://www.zomato.com/bangalore/bangarpet-chats-rajajinagar-bangalore/order
Hotel N.G.T Non Veg,₹100 for one,"Biryani, South Indian, Chinese",4.1,https://www.zomato.com/bangalore/hotel-n-g-t-non-veg-vijay-nagar-bangalore/order
Nando's,₹100 for one,"Portuguese, Burger, Fast Food",4.1,https://www.zomato.com/bangalore/nandos-brigade-road-bangalore/order
Magnolia Bakery,₹100 for one,"Bakery, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/magnolia-bakery-indiranagar-bangalore/order
King Punjabi Restaurant,₹100 for one,"North Indian, Chinese, Sichuan",3.9,https://www.zomato.com/bangalore/king-punjabi-restaurant-btm/order
Daily Sushi,₹100 for one,"Japanese, Korean, Sushi, Asian",4.2,https://www.zomato.com/bangalore/daily-sushi-church-street-bangalore/order
La Heaven,₹100 for one,"Bakery, Desserts",4.4,https://www.zomato.com/bangalore/la-heaven-malleshwaram-bangalore/order
NOTO - Healthy Ice Cream,₹100 for one,"Ice Cream, Mithai, Desserts",4,https://www.zomato.com/bangalore/noto-healthy-ice-cream-brigade-road-bangalore/order
Le Arabia Restaurant,₹250 for one,"Arabian, Biryani, North Indian, Chinese, Fast Food, Sichuan",3.5,https://www.zomato.com/bangalore/le-arabia-restaurant-vijay-nagar-bangalore/order
Friendly Neighbourhood Pizza - Man,₹250 for one,"Pizza, Italian, Ice Cream, Shake",4.3,https://www.zomato.com/bangalore/friendly-neighbourhood-pizza-man-basavanagudi-bangalore/order
New Shanthi Sagar,₹250 for one,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages",3.8,https://www.zomato.com/bangalore/new-shanthi-sagar-basavanagudi/order
Belgian Waffle Factory,₹250 for one,"Desserts, Waffle",4,https://www.zomato.com/bangalore/belgian-waffle-factory-rt-nagar-bangalore/order
Rooftop Cafe,₹250 for one,"Pizza, Fast Food, Chinese, Coffee, Beverages",3.7,https://www.zomato.com/bangalore/rooftop-cafe-jayanagar/order
Jose Mess,₹250 for one,"Kerala, South Indian, Biryani",4,https://www.zomato.com/bangalore/jose-mess-1-btm-bangalore/order
Pasta Street,₹250 for one,"Pasta, Pizza, Italian, European, Salad, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/pasta-street-cunningham-road/order
Rajasthani Taj Restaurant,₹250 for one,"North Indian, Chinese, Street Food, Rajasthani",3,https://www.zomato.com/bangalore/rajasthani-taj-restaurant-btm-bangalore/order
Indiana Burgers,₹250 for one,"Burger, Rolls, Beverages, Desserts, Shake",3.6,https://www.zomato.com/bangalore/indiana-burgers-vasanth-nagar-bangalore/order
Lassi Corner,₹250 for one,"Beverages, Juices, Shake, Desserts, Ice Cream, Sandwich, Fast Food, Street Food",3.4,https://www.zomato.com/bangalore/lassi-corner-7-vijay-nagar-bangalore/order
Kolkata Famous Kati Roll,₹250 for one,Rolls,3.9,https://www.zomato.com/bangalore/kolkata-famous-kati-roll-1-hbr-layout-bangalore/order
Apsara Ice Creams,₹250 for one,"Ice Cream, Desserts",4.5,https://www.zomato.com/bangalore/apsara-ice-creams-koramangala-5th-block-bangalore/order
Vaibhav Biryani,₹250 for one,Biryani,4.3,https://www.zomato.com/bangalore/vaibhav-biryani-rajajinagar-bangalore/order
Kunafa World,₹250 for one,Desserts,4.4,https://www.zomato.com/bangalore/kunafa-world-frazer-town-bangalore/order
Melting Cheese,₹250 for one,"Pizza, Sandwich, Fast Food, Street Food",3.5,https://www.zomato.com/bangalore/melting-cheese-basavanagudi-bangalore/order
Donne Biryani Angadi Mane,₹250 for one,"Biryani, South Indian",3.9,https://www.zomato.com/bangalore/donne-biryani-angadi-mane-sadashiv-nagar-bangalore/order
Habibi Falafel,₹250 for one,"Middle Eastern, Fast Food, Bakery, Beverages",4.3,https://www.zomato.com/habibifalafel/order
Biryani Pot,₹250 for one,"Biryani, North Indian, Chinese, Hyderabadi, Andhra, Wraps, Sichuan",3.9,https://www.zomato.com/bangalore/biryani-pot-btm/order
By 2 Coffee,₹250 for one,South Indian,4.4,https://www.zomato.com/bangalore/by-2-coffee-basavanagudi-bangalore/order
Chopstick,₹250 for one,"Chinese, Desserts, Seafood, Burger, Sichuan",3.9,https://www.zomato.com/bangalore/chopstick-rt-nagar-bangalore/order
Raidan Restaurant,₹250 for one,"North Indian, Arabian, Chinese, Lebanese, Sichuan",3.8,https://www.zomato.com/bangalore/raidan-restaurant-rt-nagar-bangalore/order
Khan Saheb Grills And Rolls,₹250 for one,"North Indian, Rolls, Kebab, Mughlai, Biryani, Beverages",3.6,https://www.zomato.com/bangalore/khan-saheb-grills-and-rolls-commercial-street-bangalore/order
Olio - The Wood Fired Pizzeria,₹250 for one,"Pizza, Italian",3.5,https://www.zomato.com/bangalore/olio-the-wood-fired-pizzeria-koramangala-6th-block-bangalore/order
Auntie Fung's,₹250 for one,"Asian, Thai, Vietnamese, Japanese, Indonesian, Chinese, Korean, Burmese",4,https://www.zomato.com/bangalore/auntie-fungs-indiranagar-bangalore/order
Rajanna Military Hotel,₹150 for one,South Indian,4,https://www.zomato.com/bangalore/rajanna-military-hotel-rajajinagar-bangalore/order
Calcutta Victoria Chat House,₹150 for one,"North Indian, Street Food, Desserts, Beverages",3.7,https://www.zomato.com/bangalore/calcutta-victoria-chat-house-jeevan-bhima-nagar/order
Sweet Chariot Cafe,₹150 for one,"Bakery, Desserts, Fast Food",4.4,https://www.zomato.com/bangalore/sweet-chariot-cafe-residency-road/order
Shanthi Sagar,₹150 for one,"South Indian, North Indian, Chinese, Street Food, Desserts, Shake, Beverages",4,https://www.zomato.com/bangalore/shanthi-sagar-ulsoor/order
Vishnu Garden,₹150 for one,"South Indian, North Indian, Chinese, Fast Food, Street Food, Ice Cream, Beverages, Shake",4.2,https://www.zomato.com/bangalore/vishnu-garden-rt-nagar/order
Lo! - Low Carb And Keto Foods,₹150 for one,"Healthy Food, North Indian, Sandwich, Fast Food, Desserts",4,https://www.zomato.com/bangalore/lo-low-carb-and-keto-foods-domlur-bangalore/order
Home Plate by EatFit,₹150 for one,"North Indian, Beverages",3.7,https://www.zomato.com/bangalore/home-plate-by-eatfit-cunningham-road-bangalore/order
FB Café By Frozen Bottle,₹150 for one,Bakery,3.7,https://www.zomato.com/bangalore/fb-café-by-frozen-bottle-shivajinagar-bangalore/order
Kabab Biryani Corner,₹150 for one,"Momos, Rolls, Chinese, South Indian, Kebab, North Indian, Biryani, Shawarma",3.5,https://www.zomato.com/bangalore/kabab-biryani-corner-richmond-road-bangalore/order
Sri Vishnu Park,₹150 for one,"South Indian, North Indian, Chinese, Biryani, Beverages, Desserts",3.9,https://www.zomato.com/bangalore/sri-vishnu-park-btm/order
Donne Biriyani House,₹150 for one,"Biryani, South Indian",3.5,https://www.zomato.com/bangalore/donne-biriyani-house-kammanahalli-bangalore/order
Swiss Cream,₹150 for one,"Ice Cream, Waffle, Desserts, Sandwich, Shake, Beverages",4.2,https://www.zomato.com/bangalore/swiss-cream-shanti-nagar-bangalore/order
Firangi Bake,₹250 for one,"Italian, Mexican",3.9,https://www.zomato.com/bangalore/firangi-bake-1-shanti-nagar-bangalore/order
Keventers Ice Cream,₹250 for one,"Ice Cream, Desserts",4.3,https://www.zomato.com/bangalore/keventers-ice-cream-brigade-road-bangalore/order
Charminar Biryani House,₹250 for one,"Biryani, North Indian, Chinese",3.9,https://www.zomato.com/bangalore/charminar-biryani-house-1-btm-bangalore/order
Pure Veg Meals By LunchBox,₹250 for one,North Indian,3.8,https://www.zomato.com/bangalore/pure-veg-meals-by-lunchbox-shanti-nagar-bangalore/order
Tomba Kitchens,₹250 for one,"Naga, Chinese, Beverages",4.3,https://www.zomato.com/bangalore/tomba-kitchens-ejipura-bangalore/order
Lulu Hypermarket,₹250 for one,"Arabian, North Indian, South Indian, Salad, Fast Food, Bakery",3.8,https://www.zomato.com/bangalore/lulu-hypermarket-rajajinagar-bangalore/order
Al Taza,₹250 for one,,4.3,https://www.zomato.com/bangalore/al-taza-indiranagar-bangalore/order
Sreenivasa Brahmins Bakery,₹250 for one,"Bakery, Desserts, Fast Food",4.4,https://www.zomato.com/bangalore/sreenivasa-brahmins-bakery-1-basavanagudi-bangalore/order
Rolls Kitchen,₹250 for one,"Rolls, Fast Food, Beverages",4.2,https://www.zomato.com/bangalore/rolls-kitchen-langford-town-bangalore/order
Sagar,₹250 for one,"North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Shake, Beverages",3.9,https://www.zomato.com/bangalore/sagar-seshadripuram-bangalore/order
Cafe Grill,₹250 for one,"Chinese, North Indian, Rolls",4,https://www.zomato.com/bangalore/cafe-grill-jeevan-bhima-nagar/order
Hotel Fanoos,₹250 for one,"Rolls, Biryani, Fast Food, Arabian",3.9,https://www.zomato.com/bangalore/hotel-fanoos-richmond-road-bangalore/order
Gokul Veg,₹200 for one,"North Indian, Chinese, Beverages, Desserts",4,https://www.zomato.com/bangalore/gokul-veg-basavanagudi/order
Kedias Fun Food,₹200 for one,"North Indian, Street Food, Beverages",4.1,https://www.zomato.com/bangalore/kedias-fun-food-jayanagar-bangalore/order
Al-Wahab Tandoori Restaurant,₹200 for one,"North Indian, Chinese, Arabian, Biryani, Rolls, Sichuan",4.2,https://www.zomato.com/bangalore/al-wahab-tandoori-restaurant-hbr-layout-bangalore/order
Rolls N Snacks,₹200 for one,"Street Food, Fast Food, Sandwich, Burger, Pizza, Shake, Beverages",3.6,https://www.zomato.com/bangalore/rolls-n-snacks-vijay-nagar-bangalore/order
ZAZA 22 Spice Biryani,₹200 for one,"Biryani, North Indian, Mughlai, Desserts, Beverages",4,https://www.zomato.com/bangalore/zaza-22-spice-biryani-shanti-nagar-bangalore/order
Basaveshwarnagar Dosa Corner,₹200 for one,South Indian,4.3,https://www.zomato.com/bangalore/basaveshwarnagar-dosa-corner-basaveshwara-nagar/order
RollsKing,₹200 for one,"Rolls, Fast Food, North Indian",3.6,https://www.zomato.com/bangalore/rollsking-btm-bangalore/order
Adiga's,₹200 for one,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages",3.6,https://www.zomato.com/bangalore/adigas-majestic-bangalore/order
The Parotta Combo,₹200 for one,"South Indian, Desserts",3.7,https://www.zomato.com/bangalore/the-parotta-combo-1-koramangala-7th-block-bangalore/order
RB Food Point,₹200 for one,"North Indian, Chinese",3.6,https://www.zomato.com/bangalore/rb-food-point-btm-bangalore/order
Gowda's Biriyani Corner,₹200 for one,"South Indian, Biryani, North Indian",3.7,https://www.zomato.com/bangalore/gowdas-biriyani-corner-vijay-nagar-bangalore/order
Brik Oven,₹200 for one,"Cafe, Italian, Fast Food, Desserts, Beverages, Shake",4.2,https://www.zomato.com/bangalore/brik-oven-church-street/order
Shawarma 21,₹100 for one,"Lebanese, Fast Food",3.9,https://www.zomato.com/bangalore/shawarma-21-rajajinagar-bangalore/order
Steve's Fast Food,₹100 for one,"Chinese, Momos, Seafood",4.1,https://www.zomato.com/bangalore/steves-fast-food-airport-road-bangalore/order
Sweet Moments,₹100 for one,"Mithai, Street Food, Ice Cream, Beverages",4.1,https://www.zomato.com/bangalore/sweet-moments-1-kammanahalli-bangalore/order
Zaatar,₹100 for one,"BBQ, Arabian, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages",3.8,https://www.zomato.com/bangalore/zaatar-old-madras-road-bangalore/order
Shawarma Grill House,₹100 for one,"Chinese, Biryani, Mughlai, North Indian, Shake, Sichuan",3.9,https://www.zomato.com/bangalore/shawarma-grill-house-rajajinagar-bangalore/order
Main Lassi Shop,₹100 for one,"Beverages, Shake, Juices, Fast Food, Street Food, Sandwich, Ice Cream",3.7,https://www.zomato.com/bangalore/main-lassi-shop-shivajinagar-bangalore/order
Dragon's Kitchen,₹100 for one,"Chinese, Sichuan",3.9,https://www.zomato.com/bangalore/dragons-kitchen-jayanagar-bangalore/order
Ghee And Turmeric,₹100 for one,North Indian,4.1,https://www.zomato.com/bangalore/ghee-and-turmeric-cunningham-road-bangalore/order
Shuchi Ruchi,₹100 for one,"Chinese, North Indian, South Indian, Street Food, Fast Food",3.8,https://www.zomato.com/bangalore/shuchi-ruchi-malleshwaram/order
San Tung Chinese,₹100 for one,"Chinese, Momos, Sichuan",4,https://www.zomato.com/bangalore/san-tung-chinese-malleshwaram-bangalore/order
Samosa Singh,₹100 for one,"Street Food, Fast Food, Tea, North Indian",3.7,https://www.zomato.com/bangalore/samosa-singh-basaveshwara-nagar-bangalore/order
Hamza Hotel,₹100 for one,"North Indian, Chinese, Mughlai, Biryani, Rolls",4.1,https://www.zomato.com/bangalore/hamza-hotel-shivajinagar-bangalore/order
