Name,Price_For_One,Cuisines,Rating,Urls
Subway,₹150 for one,"Healthy Food, Sandwich, Wraps, Salad, Fast Food, Desserts",3.7,https://www.zomato.com/bangalore/subway-lavelle-road/order
Faasos - Wraps & Rolls,₹150 for one,"Rolls, Fast Food, Wraps, Desserts",3.9,https://www.zomato.com/bangalore/faasos-wraps-rolls-shanti-nagar-bangalore/order
Anand Sweets And Savouries,₹150 for one,"Mithai, Street Food, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/anand-sweets-and-savouries-commercial-street-bangalore/order
Imperio Restaurant,₹150 for one,"North Indian, Biryani, Arabian, Chinese, Kebab, Beverages, Juices, Sichuan",3.5,https://www.zomato.com/bangalore/imperio-restaurant-1-koramangala-7th-block-bangalore/order
Mani's Dum Biryani,₹150 for one,"Biryani, Kebab",4.1,https://www.zomato.com/bangalore/manis-dum-biryani-ulsoor/order
Nandhini Deluxe,₹250 for one,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",4,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order
Sharief Bhai,₹250 for one,"Biryani, Mughlai, Kebab, Afghan, Street Food, Beverages, Desserts",4.1,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/order
NIC Ice Creams,₹250 for one,Ice Cream,4.5,https://www.zomato.com/bangalore/nic-ice-creams-frazer-town-bangalore/order
Samosa Party,₹250 for one,"Street Food, Tea",4.4,https://www.zomato.com/bangalore/samosa-party-brigade-road-bangalore/order
Kannur Food Point,₹250 for one,"Kerala, Chinese, South Indian, Arabian, Juices, Beverages, Shake",3.7,https://www.zomato.com/bangalore/kannur-food-point-btm/order
Imperial Restaurant,₹250 for one,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages",4,https://www.zomato.com/bangalore/imperial-restaurant-residency-road/order
Sri Udupi Food Hub,₹250 for one,"South Indian, North Indian, Chinese, Sandwich, Street Food, Ice Cream, Shake, Beverages",4.2,https://www.zomato.com/bangalore/sri-udupi-food-hub-majestic-bangalore/order
Lassi Shop,₹250 for one,"Beverages, Shake, Juices, Ice Cream, Desserts, Burger, Fast Food",3.1,https://www.zomato.com/bangalore/lassi-shop-1-residency-road-bangalore/order
Chickpet Donne Biryani House,₹250 for one,"Biryani, South Indian, Kebab",3.8,https://www.zomato.com/bangalore/chickpet-donne-biryani-house-jayanagar-bangalore/order
Pizza@99,₹250 for one,"Pizza, Burger, Fast Food",3.2,https://www.zomato.com/bangalore/pizza@99-rajajinagar-bangalore/order
Bakingo,₹250 for one,"Bakery, Desserts",4.2,https://www.zomato.com/bangalore/bakingo-vasanth-nagar-bangalore/order
Chai Point,₹250 for one,"Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee",4,https://www.zomato.com/bangalore/chai-point-church-street-bangalore/order
Kannur Food Kitchen,₹150 for one,"South Indian, Biryani, Chinese, Arabian, Beverages, Shake",3.7,https://www.zomato.com/bangalore/kannur-food-kitchen-btm-bangalore/order
